State,Abbr,Preliminary Notice Deadline,Lien Filing Deadline,Enforcement Deadline,Statute Citation,Statute URL,Last Verified,Special Notes
Alabama,AL,N/A,6 months from last furnishing,6 months after filing,Ala. Code § 35-11-210 et seq.,https://alison.legislature.state.al.us/code-of-alabama,2026-08-14,Balance lien only for unpaid portion
Alaska,AK,15 days from first furnishing,120 days from last furnishing,6 months after filing,Alaska Stat. § 34.35.005 et seq.,https://www.akleg.gov/statutes/Title34/Chapter35/,2026-08-14,Owner-occupied residential requires notice
Arizona,AZ,20 days from first furnishing,120 days after completion (60 days if no NOO),6 months after filing,A.R.S. § 33-981 et seq.,https://www.azleg.gov/arsDetail/?title=33,2026-08-14,Preliminary 20-day notice is mandatory
Arkansas,AR,75 days from last furnishing (residential),120 days from last furnishing,15 months after filing,Ark. Code § 18-44-101 et seq.,https://codes.findlaw.com/ar/title-18-property/ar-code-sect-18-44-101/,2026-08-14,Residential requires 10-day pre-lien notice
California,CA,20 days from first furnishing,90 days after completion,90 days after filing,Cal. Civ. Code § 8000 et seq.,https://leginfo.legislature.ca.gov/faces/codes_displayText.xhtml?division=2.&lawCode=CIV&title=8.,2026-08-14,Strict preliminary notice requirement for all tiers
Colorado,CO,N/A,4 months from last furnishing,6 months after filing,Colo. Rev. Stat. § 38-22-101 et seq.,https://leg.colorado.gov/sites/default/files/2021-09/title-38.pdf,2026-08-14,One notice covers all work
Connecticut,CT,N/A,90 days from last furnishing,1 year after filing,Conn. Gen. Stat. § 49-33 et seq.,https://www.cga.ct.gov/current/pub/chap_847.htm,2026-08-14,Subcontractors must serve notice within 60 days
Delaware,DE,N/A,180 days from last furnishing,1 year after filing,Del. Code tit. 6 § 2701 et seq.,https://delcode.delaware.gov/title6/c027/,2026-08-14,Must file in Superior Court
District of Columbia,DC,N/A,90 days from last furnishing,180 days after filing,D.C. Code § 40-301.01 et seq.,https://code.dccouncil.gov/us/dc/council/code/titles/40/chapters/3,2026-08-14,Notice of intent required
Florida,FL,45 days from first furnishing (Notice to Owner),90 days from last furnishing,1 year after filing,Fla. Stat. ch. 713,https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0700-0799/0713/0713.html,2026-08-14,Notice to Owner is strictly required for subcontractors
Georgia,GA,N/A,90 days from last furnishing,365 days after filing,O.C.G.A. § 44-14-361 et seq.,https://law.justia.com/codes/georgia/title-44/chapter-14/article-3/part-1/,2026-08-14,Material suppliers have same deadline as contractors
Hawaii,HI,N/A,45 days from last furnishing,3 months after filing,Haw. Rev. Stat. § 507-41 et seq.,https://www.capitol.hawaii.gov/hrscurrent/Vol11_Ch0501-0588/HRS0507/HRS_0507-0041.htm,2026-08-14,Notice of completion can shorten deadlines
Idaho,ID,N/A,90 days from last furnishing,6 months after filing,Idaho Code § 45-501 et seq.,https://legislature.idaho.gov/statutesrules/idstat/title45/t45ch5/,2026-08-14,Must include verified statement of amount due
Illinois,IL,60 days from last furnishing (subcontractors),4 months from last furnishing,2 years after filing,770 ILCS 60/1 et seq.,https://www.ilga.gov/legislation/ilcs/ilcs3.asp?ActID=2812&ChapterID=50,2026-08-14,Original contractor: file within 4 months
Indiana,IN,30 days from first furnishing (residential),90 days from last furnishing (60 days for residential),1 year after filing,Ind. Code § 32-28-3-1 et seq.,https://iga.in.gov/legislative/laws/2024/ic/titles/032#32-28-3,2026-08-14,Residential pre-lien notice required
Iowa,IA,N/A,90 days from last furnishing,2 years after filing,Iowa Code § 572.1 et seq.,https://www.legis.iowa.gov/docs/code/572.pdf,2026-08-14,Owner may demand suit within 30 days
Kansas,KS,N/A,4 months from last furnishing (3 months for residential),1 year after filing,K.S.A. § 60-1101 et seq.,https://www.ksrevisor.org/statutes/chapters/ch60/060_011_0001.html,2026-08-14,Residential projects have shorter deadlines
Kentucky,KY,75 days from last furnishing (residential),6 months from last furnishing,1 year after filing,Ky. Rev. Stat. § 376.010 et seq.,https://apps.legislature.ky.gov/law/statutes/chapter.aspx?id=39198,2026-08-14,Must file statement of amount due
Louisiana,LA,N/A,60 days from last furnishing (30 days if NOO filed),1 year after filing,La. R.S. 9:4801 et seq.,https://www.legis.la.gov/legis/Law.aspx?d=292868,2026-08-14,Notice of termination shortens deadlines
Maine,ME,N/A,90 days from last furnishing,120 days after filing,10 M.R.S. § 3251 et seq.,https://legislature.maine.gov/statutes/10/title10ch603sec0.html,2026-08-14,Must include sworn statement
Maryland,MD,120 days from last furnishing (residential),180 days from last furnishing,1 year after filing,"Md. Code, Real Prop. § 9-101 et seq.",https://mgaleg.maryland.gov/mgawebsite/Laws/StatuteText?article=grp&section=9-101&enactments=,2026-08-14,Notice of intention to claim lien required for subcontractors
Massachusetts,MA,N/A,90 days from last furnishing (subcontractors: 60 days after NOF),90 days after filing,Mass. Gen. Laws ch. 254 § 2 et seq.,https://malegislature.gov/Laws/GeneralLaws/PartIII/TitleI/Chapter254,2026-08-14,Must record notice of contract for large projects
Michigan,MI,20 days from first furnishing (residential),90 days from last furnishing,1 year after filing,Mich. Comp. Laws § 570.1101 et seq.,http://www.legislature.mi.gov/(S(epgkb0mr4ps14adnqkfvlfhb))/mileg.aspx?page=GetObject&objectname=mcl-act-497-of-1980,2026-08-14,Residential requires notice of furnishing
Minnesota,MN,45 days from first furnishing (residential),120 days from last furnishing,1 year after filing,Minn. Stat. ch. 514,https://www.revisor.mn.gov/statutes/cite/514,2026-08-14,Pre-lien notice required for all tiers
Mississippi,MS,N/A,"12 months from last furnishing (commercial), 90 days (residential)",1 year after filing,Miss. Code § 85-7-181 et seq.,https://codes.findlaw.com/ms/title-85-trusts-and-trustees/ms-code-sect-85-7-181/,2026-08-14,No preliminary notice required
